f30:0: {'name': 'f30:0', 'source_node': '10', 'target_node': '4', 'source_xy': {'X': 2, 'Y': 2}, 'target_xy': {'X': 0, 'Y': 1}, 'data_size': 16384, 'release_time': 0}
f30:1: {'name': 'f30:1', 'source_node': '10', 'target_node': '4', 'source_xy': {'X': 2, 'Y': 2}, 'target_xy': {'X': 0, 'Y': 1}, 'data_size': 16384, 'release_time': 96250}
f26:1: {'name': 'f26:1', 'source_node': '10', 'target_node': '9', 'source_xy': {'X': 2, 'Y': 2}, 'target_xy': {'X': 1, 'Y': 2}, 'data_size': 8192, 'release_time': 108250}
f30:2: {'name': 'f30:2', 'source_node': '10', 'target_node': '4', 'source_xy': {'X': 2, 'Y': 2}, 'target_xy': {'X': 0, 'Y': 1}, 'data_size': 16384, 'release_time': 192500}
f26:2: {'name': 'f26:2', 'source_node': '10', 'target_node': '9', 'source_xy': {'X': 2, 'Y': 2}, 'target_xy': {'X': 1, 'Y': 2}, 'data_size': 8192, 'release_time': 204500}
f30:3: {'name': 'f30:3', 'source_node': '10', 'target_node': '4', 'source_xy': {'X': 2, 'Y': 2}, 'target_xy': {'X': 0, 'Y': 1}, 'data_size': 16384, 'release_time': 288750}
f26:3: {'name': 'f26:3', 'source_node': '10', 'target_node': '9', 'source_xy': {'X': 2, 'Y': 2}, 'target_xy': {'X': 1, 'Y': 2}, 'data_size': 8192, 'release_time': 300750}
f30:4: {'name': 'f30:4', 'source_node': '10', 'target_node': '4', 'source_xy': {'X': 2, 'Y': 2}, 'target_xy': {'X': 0, 'Y': 1}, 'data_size': 16384, 'release_time': 385000}
f26:4: {'name': 'f26:4', 'source_node': '10', 'target_node': '9', 'source_xy': {'X': 2, 'Y': 2}, 'target_xy': {'X': 1, 'Y': 2}, 'data_size': 8192, 'release_time': 397000}
f30:5: {'name': 'f30:5', 'source_node': '10', 'target_node': '4', 'source_xy': {'X': 2, 'Y': 2}, 'target_xy': {'X': 0, 'Y': 1}, 'data_size': 16384, 'release_time': 481250}
f26:5: {'name': 'f26:5', 'source_node': '10', 'target_node': '9', 'source_xy': {'X': 2, 'Y': 2}, 'target_xy': {'X': 1, 'Y': 2}, 'data_size': 8192, 'release_time': 493250}
f30:6: {'name': 'f30:6', 'source_node': '10', 'target_node': '4', 'source_xy': {'X': 2, 'Y': 2}, 'target_xy': {'X': 0, 'Y': 1}, 'data_size': 16384, 'release_time': 577500}
f26:6: {'name': 'f26:6', 'source_node': '10', 'target_node': '9', 'source_xy': {'X': 2, 'Y': 2}, 'target_xy': {'X': 1, 'Y': 2}, 'data_size': 8192, 'release_time': 589500}
f30:7: {'name': 'f30:7', 'source_node': '10', 'target_node': '4', 'source_xy': {'X': 2, 'Y': 2}, 'target_xy': {'X': 0, 'Y': 1}, 'data_size': 16384, 'release_time': 673750}
f26:7: {'name': 'f26:7', 'source_node': '10', 'target_node': '9', 'source_xy': {'X': 2, 'Y': 2}, 'target_xy': {'X': 1, 'Y': 2}, 'data_size': 8192, 'release_time': 685750}
f30:8: {'name': 'f30:8', 'source_node': '10', 'target_node': '4', 'source_xy': {'X': 2, 'Y': 2}, 'target_xy': {'X': 0, 'Y': 1}, 'data_size': 16384, 'release_time': 770000}
f26:8: {'name': 'f26:8', 'source_node': '10', 'target_node': '9', 'source_xy': {'X': 2, 'Y': 2}, 'target_xy': {'X': 1, 'Y': 2}, 'data_size': 8192, 'release_time': 782000}
f30:9: {'name': 'f30:9', 'source_node': '10', 'target_node': '4', 'source_xy': {'X': 2, 'Y': 2}, 'target_xy': {'X': 0, 'Y': 1}, 'data_size': 16384, 'release_time': 866250}
f26:9: {'name': 'f26:9', 'source_node': '10', 'target_node': '9', 'source_xy': {'X': 2, 'Y': 2}, 'target_xy': {'X': 1, 'Y': 2}, 'data_size': 8192, 'release_time': 878250}
f30:10: {'name': 'f30:10', 'source_node': '10', 'target_node': '4', 'source_xy': {'X': 2, 'Y': 2}, 'target_xy': {'X': 0, 'Y': 1}, 'data_size': 16384, 'release_time': 962500}
f26:10: {'name': 'f26:10', 'source_node': '10', 'target_node': '9', 'source_xy': {'X': 2, 'Y': 2}, 'target_xy': {'X': 1, 'Y': 2}, 'data_size': 8192, 'release_time': 974500}
f30:11: {'name': 'f30:11', 'source_node': '10', 'target_node': '4', 'source_xy': {'X': 2, 'Y': 2}, 'target_xy': {'X': 0, 'Y': 1}, 'data_size': 16384, 'release_time': 1058750}
f26:11: {'name': 'f26:11', 'source_node': '10', 'target_node': '9', 'source_xy': {'X': 2, 'Y': 2}, 'target_xy': {'X': 1, 'Y': 2}, 'data_size': 8192, 'release_time': 1070750}
f30:12: {'name': 'f30:12', 'source_node': '10', 'target_node': '4', 'source_xy': {'X': 2, 'Y': 2}, 'target_xy': {'X': 0, 'Y': 1}, 'data_size': 16384, 'release_time': 1155000}
f26:12: {'name': 'f26:12', 'source_node': '10', 'target_node': '9', 'source_xy': {'X': 2, 'Y': 2}, 'target_xy': {'X': 1, 'Y': 2}, 'data_size': 8192, 'release_time': 1167000}
f30:13: {'name': 'f30:13', 'source_node': '10', 'target_node': '4', 'source_xy': {'X': 2, 'Y': 2}, 'target_xy': {'X': 0, 'Y': 1}, 'data_size': 16384, 'release_time': 1251250}
f26:13: {'name': 'f26:13', 'source_node': '10', 'target_node': '9', 'source_xy': {'X': 2, 'Y': 2}, 'target_xy': {'X': 1, 'Y': 2}, 'data_size': 8192, 'release_time': 1263250}
f30:14: {'name': 'f30:14', 'source_node': '10', 'target_node': '4', 'source_xy': {'X': 2, 'Y': 2}, 'target_xy': {'X': 0, 'Y': 1}, 'data_size': 16384, 'release_time': 1347500}
f26:14: {'name': 'f26:14', 'source_node': '10', 'target_node': '9', 'source_xy': {'X': 2, 'Y': 2}, 'target_xy': {'X': 1, 'Y': 2}, 'data_size': 8192, 'release_time': 1359500}
f30:15: {'name': 'f30:15', 'source_node': '10', 'target_node': '4', 'source_xy': {'X': 2, 'Y': 2}, 'target_xy': {'X': 0, 'Y': 1}, 'data_size': 16384, 'release_time': 1443750}
f26:15: {'name': 'f26:15', 'source_node': '10', 'target_node': '9', 'source_xy': {'X': 2, 'Y': 2}, 'target_xy': {'X': 1, 'Y': 2}, 'data_size': 8192, 'release_time': 1455750}
f30:16: {'name': 'f30:16', 'source_node': '10', 'target_node': '4', 'source_xy': {'X': 2, 'Y': 2}, 'target_xy': {'X': 0, 'Y': 1}, 'data_size': 16384, 'release_time': 1540000}
f26:16: {'name': 'f26:16', 'source_node': '10', 'target_node': '9', 'source_xy': {'X': 2, 'Y': 2}, 'target_xy': {'X': 1, 'Y': 2}, 'data_size': 8192, 'release_time': 1552000}
f30:17: {'name': 'f30:17', 'source_node': '10', 'target_node': '4', 'source_xy': {'X': 2, 'Y': 2}, 'target_xy': {'X': 0, 'Y': 1}, 'data_size': 16384, 'release_time': 1636250}
f26:17: {'name': 'f26:17', 'source_node': '10', 'target_node': '9', 'source_xy': {'X': 2, 'Y': 2}, 'target_xy': {'X': 1, 'Y': 2}, 'data_size': 8192, 'release_time': 1648250}
f30:18: {'name': 'f30:18', 'source_node': '10', 'target_node': '4', 'source_xy': {'X': 2, 'Y': 2}, 'target_xy': {'X': 0, 'Y': 1}, 'data_size': 16384, 'release_time': 1732500}
f26:18: {'name': 'f26:18', 'source_node': '10', 'target_node': '9', 'source_xy': {'X': 2, 'Y': 2}, 'target_xy': {'X': 1, 'Y': 2}, 'data_size': 8192, 'release_time': 1744500}
f30:19: {'name': 'f30:19', 'source_node': '10', 'target_node': '4', 'source_xy': {'X': 2, 'Y': 2}, 'target_xy': {'X': 0, 'Y': 1}, 'data_size': 16384, 'release_time': 1828750}
f26:19: {'name': 'f26:19', 'source_node': '10', 'target_node': '9', 'source_xy': {'X': 2, 'Y': 2}, 'target_xy': {'X': 1, 'Y': 2}, 'data_size': 8192, 'release_time': 1840750}
